user_nick,rank,new_count,new_stocks
한지평,10,10,SK하이닉스; 삼성SDI; 에스엠벡셀; 에코프로비엠; 엔켐; 엘앤에프; 중앙첨단소재; 코스모신소재; 툴젠; 한화오션
RICH_KKK,11,10,대주전자재료; 대한광통신; 두산에너빌리티; 로보티즈; 비에이치아이; 삼성SDI; 에코프로머티; 엘앤에프; 이수스페셜티케미컬; 포스코퓨처엠
가주한,14,10,SK하이닉스; 두산; 비에이치아이; 삼성SDI; 삼성전자; 에코프로; 에코프로비엠; 엘앤에프; 하나마이크론; 한미반도체
매매계산기,16,10,HD현대일렉트릭; LIG넥스원; 로보로보; 로보스타; 로보티즈; 에코프로; 에코프로비엠; 엘앤에프; 코리아써키트; 코스모신소재
이상현,19,10,HD현대일렉트릭; HJ중공업; LG에너지솔루션; LS ELECTRIC; 두산에너빌리티; 산일전기; 삼성전자; 에코프로; 일진전기; 코스모신소재
RICH_차가운심장,20,10,LG에너지솔루션; SK하이닉스; 삼성SDI; 삼성전자; 삼영엠텍; 에코프로; 엘앤에프; 이수스페셜티케미컬; 이수페타시스; 포스코퓨처엠
딸깍,5,9,SK하이닉스; 대한광통신; 에스피지; 에코프로비엠; 엘앤에프; 원익IPS; 중앙첨단소재; 포스코DX; 포스코퓨처엠
이레,9,9,고려아연; 나노신소재; 삼성전자; 에코프로; 엘앤에프; 엘티씨; 일진전기; 한미반도체; 효성중공업
chics,18,9,두산에너빌리티; 삼성전자; 심텍; 심텍홀딩스; 에코프로머티; 엔켐; 엘앤에프; 중앙첨단소재; 현대ADM
MKNT_MIN,3,2,SK하이닉스; 에코프로
코스모스,2,1,DB하이텍
숭실숭실해,6,1,코스모신소재
poee,7,1,신성델타테크
보라색맛나,8,1,테크윙
훈식,12,1,삼성전자
HYSW_jj,15,1,에코프로비엠
사계절투자법,1,0,
귀여운바위게,4,0,
학쿡,13,0,
아일렉스,17,0,
