rank,user_nick,stock_name,weight,scraped_at
1,고호h,성호전자,17.4,2026-04-01 11:46:21
1,고호h,오이솔루션,17.3,2026-04-01 11:46:21
1,고호h,파이버프로,16.2,2026-04-01 11:46:21
1,고호h,케이엠더블유,15.7,2026-04-01 11:46:21
1,고호h,코리아써키트,14.8,2026-04-01 11:46:21
1,고호h,효성중공업,14.5,2026-04-01 11:46:21
1,고호h,RFHIC,9.1,2026-04-01 11:46:21
1,고호h,에이피알,0.7,2026-04-01 11:46:21
2,SMP_너구리학살중,알지노믹스,14.9,2026-04-01 11:46:23
2,SMP_너구리학살중,로보티즈,14.5,2026-04-01 11:46:23
2,SMP_너구리학살중,에코프로머티,14.3,2026-04-01 11:46:23
2,SMP_너구리학살중,서진시스템,13.7,2026-04-01 11:46:23
2,SMP_너구리학살중,한국피아이엠,12.2,2026-04-01 11:46:23
2,SMP_너구리학살중,대한광통신,11.1,2026-04-01 11:46:23
2,SMP_너구리학살중,SK증권,10.2,2026-04-01 11:46:23
2,SMP_너구리학살중,오이솔루션,7.1,2026-04-01 11:46:23
2,SMP_너구리학살중,HD현대에너지솔루션,2.0,2026-04-01 11:46:23
2,SMP_너구리학살중,레이크머티리얼즈,0.0,2026-04-01 11:46:23
3,이불쟁이,대우건설,14.7,2026-04-01 11:46:24
3,이불쟁이,삼성전자,14.6,2026-04-01 11:46:24
3,이불쟁이,오이솔루션,14.2,2026-04-01 11:46:24
3,이불쟁이,SK하이닉스,14.2,2026-04-01 11:46:24
3,이불쟁이,RFHIC,10.5,2026-04-01 11:46:24
3,이불쟁이,쏠리드,10.2,2026-04-01 11:46:24
3,이불쟁이,이수페타시스,9.6,2026-04-01 11:46:24
3,이불쟁이,케이엠더블유,7.1,2026-04-01 11:46:24
3,이불쟁이,유비쿼스,4.9,2026-04-01 11:46:24
3,이불쟁이,SGC에너지,0.0,2026-04-01 11:46:24
4,달관,성호전자,18.1,2026-04-01 11:46:26
4,달관,오이솔루션,18.1,2026-04-01 11:46:26
4,달관,삼성전자,15.7,2026-04-01 11:46:26
4,달관,RFHIC,15.0,2026-04-01 11:46:26
4,달관,파두,14.9,2026-04-01 11:46:26
4,달관,씨에스윈드,12.3,2026-04-01 11:46:26
4,달관,녹십자웰빙,5.9,2026-04-01 11:46:26
4,달관,하이텍팜,0.0,2026-04-01 11:46:26
4,달관,OCI홀딩스,0.0,2026-04-01 11:46:26
4,달관,대한광통신,0.0,2026-04-01 11:46:26
5,알고픽,오이솔루션,18.1,2026-04-01 11:46:28
5,알고픽,에치에프알,17.7,2026-04-01 11:46:28
5,알고픽,현대건설,15.6,2026-04-01 11:46:28
5,알고픽,피에스케이,15.3,2026-04-01 11:46:28
5,알고픽,주성엔지니어링,15.1,2026-04-01 11:46:28
5,알고픽,비에이치아이,14.7,2026-04-01 11:46:28
6,그럼에도불구,LG이노텍,16.6,2026-04-01 11:46:29
6,그럼에도불구,ISC,16.1,2026-04-01 11:46:29
6,그럼에도불구,스피어,15.7,2026-04-01 11:46:29
6,그럼에도불구,코리아써키트,15.5,2026-04-01 11:46:29
6,그럼에도불구,노타,15.3,2026-04-01 11:46:29
6,그럼에도불구,효성티앤씨,9.8,2026-04-01 11:46:29
6,그럼에도불구,DN오토모티브,5.7,2026-04-01 11:46:29
6,그럼에도불구,대우건설,4.5,2026-04-01 11:46:29
7,shhh,삼성전기,13.8,2026-04-01 11:46:31
7,shhh,대한광통신,13.6,2026-04-01 11:46:31
7,shhh,대우건설,13.5,2026-04-01 11:46:31
7,shhh,한미반도체,13.4,2026-04-01 11:46:31
7,shhh,리노공업,11.5,2026-04-01 11:46:31
7,shhh,삼성전자,10.2,2026-04-01 11:46:31
7,shhh,LS머트리얼즈,9.6,2026-04-01 11:46:31
7,shhh,성호전자,8.8,2026-04-01 11:46:31
7,shhh,엘앤에프,5.7,2026-04-01 11:46:31
7,shhh,쏠리드,0.0,2026-04-01 11:46:31
8,부산대SMP,LIG넥스원,16.6,2026-04-01 11:46:33
8,부산대SMP,삼성전자,15.1,2026-04-01 11:46:33
8,부산대SMP,삼성E&A,14.7,2026-04-01 11:46:33
8,부산대SMP,SK하이닉스,12.8,2026-04-01 11:46:33
8,부산대SMP,인텔리안테크,12.3,2026-04-01 11:46:33
8,부산대SMP,LS머트리얼즈,9.9,2026-04-01 11:46:33
8,부산대SMP,현대차,9.0,2026-04-01 11:46:33
8,부산대SMP,기업은행,4.9,2026-04-01 11:46:33
8,부산대SMP,삼양식품,4.9,2026-04-01 11:46:33
8,부산대SMP,센서뷰,0.0,2026-04-01 11:46:33
9,야롱,파두,15.6,2026-04-01 11:46:34
9,야롱,이오테크닉스,14.7,2026-04-01 11:46:34
9,야롱,신성델타테크,14.0,2026-04-01 11:46:34
9,야롱,강스템바이오텍,13.1,2026-04-01 11:46:34
9,야롱,파라다이스,13.1,2026-04-01 11:46:34
9,야롱,아모센스,12.7,2026-04-01 11:46:34
9,야롱,NHN,8.9,2026-04-01 11:46:34
9,야롱,효성티앤씨,8.8,2026-04-01 11:46:34
10,스톡홀리데이,삼성전자,42.3,2026-04-01 11:46:36
10,스톡홀리데이,대우건설,17.3,2026-04-01 11:46:36
10,스톡홀리데이,알지노믹스,16.3,2026-04-01 11:46:36
10,스톡홀리데이,미래에셋증권,15.9,2026-04-01 11:46:36
10,스톡홀리데이,SK하이닉스,15.6,2026-04-01 11:46:36
11,범고래,대한광통신,13.1,2026-04-01 11:46:37
11,범고래,케이엠더블유,12.9,2026-04-01 11:46:37
11,범고래,RFHIC,12.6,2026-04-01 11:46:37
11,범고래,오이솔루션,10.3,2026-04-01 11:46:37
11,범고래,쏠리드,10.1,2026-04-01 11:46:37
11,범고래,아주IB투자,7.5,2026-04-01 11:46:37
11,범고래,미래에셋벤처투자,7.4,2026-04-01 11:46:37
11,범고래,이노와이어리스,6.9,2026-04-01 11:46:37
12,이것뭐예요,삼성전자,22.3,2026-04-01 11:46:39
12,이것뭐예요,알지노믹스,16.4,2026-04-01 11:46:39
12,이것뭐예요,SGC에너지,10.5,2026-04-01 11:46:39
12,이것뭐예요,RFHIC,9.3,2026-04-01 11:46:39
12,이것뭐예요,파두,7.8,2026-04-01 11:46:39
12,이것뭐예요,LIG넥스원,5.9,2026-04-01 11:46:39
12,이것뭐예요,SK하이닉스,0.0,2026-04-01 11:46:39
13,HYSW_ij,파이버프로,15.7,2026-04-01 11:46:41
13,HYSW_ij,한국항공우주,15.3,2026-04-01 11:46:41
13,HYSW_ij,스피어,15.3,2026-04-01 11:46:41
13,HYSW_ij,이노스페이스,14.5,2026-04-01 11:46:41
13,HYSW_ij,인텔리안테크,14.2,2026-04-01 11:46:41
13,HYSW_ij,쎄트렉아이,13.4,2026-04-01 11:46:41
13,HYSW_ij,대한광통신,11.8,2026-04-01 11:46:41
13,HYSW_ij,OCI홀딩스,0.0,2026-04-01 11:46:41
14,죠스,삼성전기,10.5,2026-04-01 11:46:42
14,죠스,LIG넥스원,10.5,2026-04-01 11:46:42
14,죠스,대한광통신,8.4,2026-04-01 11:46:42
14,죠스,한화에어로스페이스,8.2,2026-04-01 11:46:42
14,죠스,대덕전자,8.0,2026-04-01 11:46:42
14,죠스,한국항공우주,8.0,2026-04-01 11:46:42
14,죠스,SK이터닉스,7.7,2026-04-01 11:46:42
14,죠스,큐라클,7.2,2026-04-01 11:46:42
14,죠스,오름테라퓨틱,6.9,2026-04-01 11:46:42
14,죠스,HD현대에너지솔루션,6.5,2026-04-01 11:46:42
15,꼬동,삼성전자,29.8,2026-04-01 11:46:44
15,꼬동,SK증권,15.7,2026-04-01 11:46:44
15,꼬동,리노공업,14.9,2026-04-01 11:46:44
15,꼬동,스피어,10.3,2026-04-01 11:46:44
15,꼬동,LS ELECTRIC,9.9,2026-04-01 11:46:44
15,꼬동,기가비스,7.6,2026-04-01 11:46:44
15,꼬동,에이피알,6.9,2026-04-01 11:46:44
