rank,user_nick,stock_name,weight,scraped_at
1,고호h,오이솔루션,17.4,2026-04-01 11:47:43
1,고호h,성호전자,17.4,2026-04-01 11:47:43
1,고호h,파이버프로,16.1,2026-04-01 11:47:43
1,고호h,케이엠더블유,15.6,2026-04-01 11:47:43
1,고호h,코리아써키트,14.8,2026-04-01 11:47:43
1,고호h,효성중공업,14.5,2026-04-01 11:47:43
1,고호h,RFHIC,9.1,2026-04-01 11:47:43
1,고호h,에이피알,0.7,2026-04-01 11:47:43
2,SMP_너구리학살중,알지노믹스,14.9,2026-04-01 11:47:44
2,SMP_너구리학살중,로보티즈,14.5,2026-04-01 11:47:44
2,SMP_너구리학살중,에코프로머티,14.3,2026-04-01 11:47:44
2,SMP_너구리학살중,서진시스템,13.7,2026-04-01 11:47:44
2,SMP_너구리학살중,한국피아이엠,12.2,2026-04-01 11:47:44
2,SMP_너구리학살중,대한광통신,11.1,2026-04-01 11:47:44
2,SMP_너구리학살중,SK증권,10.2,2026-04-01 11:47:44
2,SMP_너구리학살중,오이솔루션,7.1,2026-04-01 11:47:44
2,SMP_너구리학살중,HD현대에너지솔루션,2.0,2026-04-01 11:47:44
2,SMP_너구리학살중,레이크머티리얼즈,0.0,2026-04-01 11:47:44
3,이불쟁이,대우건설,14.7,2026-04-01 11:47:46
3,이불쟁이,삼성전자,14.6,2026-04-01 11:47:46
3,이불쟁이,오이솔루션,14.3,2026-04-01 11:47:46
3,이불쟁이,SK하이닉스,14.1,2026-04-01 11:47:46
3,이불쟁이,RFHIC,10.5,2026-04-01 11:47:46
3,이불쟁이,쏠리드,10.2,2026-04-01 11:47:46
3,이불쟁이,이수페타시스,9.6,2026-04-01 11:47:46
3,이불쟁이,케이엠더블유,7.1,2026-04-01 11:47:46
3,이불쟁이,유비쿼스,4.9,2026-04-01 11:47:46
3,이불쟁이,SGC에너지,0.0,2026-04-01 11:47:46
4,달관,오이솔루션,18.2,2026-04-01 11:47:48
4,달관,성호전자,18.1,2026-04-01 11:47:48
4,달관,삼성전자,15.7,2026-04-01 11:47:48
4,달관,RFHIC,15.0,2026-04-01 11:47:48
4,달관,파두,14.9,2026-04-01 11:47:48
4,달관,씨에스윈드,12.2,2026-04-01 11:47:48
4,달관,녹십자웰빙,5.9,2026-04-01 11:47:48
4,달관,하이텍팜,0.0,2026-04-01 11:47:48
4,달관,OCI홀딩스,0.0,2026-04-01 11:47:48
4,달관,대한광통신,0.0,2026-04-01 11:47:48
5,알고픽,오이솔루션,18.2,2026-04-01 11:47:49
5,알고픽,에치에프알,17.7,2026-04-01 11:47:49
5,알고픽,현대건설,15.6,2026-04-01 11:47:49
5,알고픽,피에스케이,15.3,2026-04-01 11:47:49
5,알고픽,주성엔지니어링,15.1,2026-04-01 11:47:49
5,알고픽,비에이치아이,14.8,2026-04-01 11:47:49
6,그럼에도불구,LG이노텍,16.6,2026-04-01 11:47:51
6,그럼에도불구,ISC,16.1,2026-04-01 11:47:51
6,그럼에도불구,스피어,15.7,2026-04-01 11:47:51
6,그럼에도불구,코리아써키트,15.5,2026-04-01 11:47:51
6,그럼에도불구,노타,15.3,2026-04-01 11:47:51
