rank,user_nick,stock_name,weight,scraped_at
1,고호h,오이솔루션,18.1,2026-04-02 10:36:38
1,고호h,파이버프로,17.2,2026-04-02 10:36:38
1,고호h,성호전자,16.6,2026-04-02 10:36:38
1,고호h,케이엠더블유,15.3,2026-04-02 10:36:38
1,고호h,스피어,14.8,2026-04-02 10:36:38
1,고호h,RFHIC,9.0,2026-04-02 10:36:38
1,고호h,기가비스,9.0,2026-04-02 10:36:38
1,고호h,에이피알,0.0,2026-04-02 10:36:38
1,고호h,파두,0.0,2026-04-02 10:36:38
1,고호h,코리아써키트,0.0,2026-04-02 10:36:38
2,SMP_너구리학살중,로보티즈,14.5,2026-04-02 10:36:40
2,SMP_너구리학살중,에코프로머티,14.4,2026-04-02 10:36:40
2,SMP_너구리학살중,대한광통신,14.3,2026-04-02 10:36:40
2,SMP_너구리학살중,서진시스템,14.0,2026-04-02 10:36:40
2,SMP_너구리학살중,오이솔루션,13.6,2026-04-02 10:36:40
2,SMP_너구리학살중,알지노믹스,13.6,2026-04-02 10:36:40
2,SMP_너구리학살중,한국피아이엠,11.9,2026-04-02 10:36:40
2,SMP_너구리학살중,SK증권,3.9,2026-04-02 10:36:40
2,SMP_너구리학살중,HD현대에너지솔루션,0.0,2026-04-02 10:36:40
3,주먹펴고일어서,흥아해운,17.4,2026-04-02 10:36:42
3,주먹펴고일어서,HD현대에너지솔루션,16.1,2026-04-02 10:36:42
3,주먹펴고일어서,서진시스템,14.4,2026-04-02 10:36:42
3,주먹펴고일어서,삼성E&A,13.8,2026-04-02 10:36:42
3,주먹펴고일어서,삼양식품,9.8,2026-04-02 10:36:42
3,주먹펴고일어서,엘앤에프,7.0,2026-04-02 10:36:42
3,주먹펴고일어서,나라스페이스테크놀로지,6.6,2026-04-02 10:36:42
3,주먹펴고일어서,삼륭물산,5.0,2026-04-02 10:36:42
4,죠스,LIG넥스원,10.7,2026-04-02 10:36:44
4,죠스,삼성전기,9.8,2026-04-02 10:36:44
4,죠스,한화에어로스페이스,8.6,2026-04-02 10:36:44
4,죠스,한국항공우주,7.9,2026-04-02 10:36:44
4,죠스,SK이터닉스,7.7,2026-04-02 10:36:44
4,죠스,대덕전자,7.4,2026-04-02 10:36:44
4,죠스,큐라클,7.0,2026-04-02 10:36:44
4,죠스,HD현대에너지솔루션,6.9,2026-04-02 10:36:44
4,죠스,오름테라퓨틱,6.4,2026-04-02 10:36:44
4,죠스,씨에스윈드,5.3,2026-04-02 10:36:44
5,DART_신민정,HD현대에너지솔루션,15.5,2026-04-02 10:36:46
5,DART_신민정,엘앤에프,14.3,2026-04-02 10:36:46
5,DART_신민정,DL이앤씨,13.3,2026-04-02 10:36:46
5,DART_신민정,미래에셋벤처투자,12.0,2026-04-02 10:36:46
5,DART_신민정,피노,11.9,2026-04-02 10:36:46
5,DART_신민정,흥아해운,11.7,2026-04-02 10:36:46
5,DART_신민정,삼성전자,9.2,2026-04-02 10:36:46
5,DART_신민정,애경케미칼,8.1,2026-04-02 10:36:46
6,한번해보자,흥아해운,17.4,2026-04-02 10:36:48
6,한번해보자,대한해운,14.5,2026-04-02 10:36:48
6,한번해보자,대한광통신,0.8,2026-04-02 10:36:48
7,CMRC_규짱,와이지-원,11.1,2026-04-02 10:36:49
7,CMRC_규짱,OCI홀딩스,10.9,2026-04-02 10:36:49
7,CMRC_규짱,HD건설기계,10.8,2026-04-02 10:36:49
7,CMRC_규짱,삼성전자,10.4,2026-04-02 10:36:49
7,CMRC_규짱,삼양식품,10.2,2026-04-02 10:36:49
7,CMRC_규짱,HD현대에너지솔루션,10.2,2026-04-02 10:36:49
7,CMRC_규짱,SK하이닉스,10.1,2026-04-02 10:36:49
7,CMRC_규짱,에치에프알,5.9,2026-04-02 10:36:49
7,CMRC_규짱,RFHIC,5.6,2026-04-02 10:36:49
7,CMRC_규짱,스피어,4.7,2026-04-02 10:36:49
8,HYSW_ij,파이버프로,15.3,2026-04-02 10:36:51
8,HYSW_ij,쎄트렉아이,15.1,2026-04-02 10:36:51
8,HYSW_ij,한국항공우주,14.9,2026-04-02 10:36:51
8,HYSW_ij,스피어,14.3,2026-04-02 10:36:51
8,HYSW_ij,인텔리안테크,13.8,2026-04-02 10:36:51
8,HYSW_ij,이노스페이스,13.6,2026-04-02 10:36:51
8,HYSW_ij,대한광통신,13.1,2026-04-02 10:36:51
9,YOUNG,한화시스템,15.0,2026-04-02 10:36:53
9,YOUNG,RFHIC,14.0,2026-04-02 10:36:53
9,YOUNG,삼천당제약,13.9,2026-04-02 10:36:53
9,YOUNG,그린광학,8.9,2026-04-02 10:36:53
9,YOUNG,흥아해운,7.3,2026-04-02 10:36:53
9,YOUNG,흥구석유,7.0,2026-04-02 10:36:53
9,YOUNG,산일전기,4.9,2026-04-02 10:36:53
9,YOUNG,미래에셋벤처투자,0.0,2026-04-02 10:36:53
10,파랑개구리,대한광통신,12.7,2026-04-02 10:36:55
10,파랑개구리,오이솔루션,11.6,2026-04-02 10:36:55
10,파랑개구리,OCI홀딩스,9.1,2026-04-02 10:36:55
10,파랑개구리,에치에프알,8.9,2026-04-02 10:36:55
10,파랑개구리,LIG넥스원,8.5,2026-04-02 10:36:55
10,파랑개구리,SK오션플랜트,7.5,2026-04-02 10:36:55
10,파랑개구리,엘앤에프,6.0,2026-04-02 10:36:55
10,파랑개구리,삼성SDI,6.0,2026-04-02 10:36:55
10,파랑개구리,LS ELECTRIC,5.5,2026-04-02 10:36:55
10,파랑개구리,쏠리드,4.0,2026-04-02 10:36:55
11,범고래,대한광통신,14.6,2026-04-02 10:36:57
11,범고래,케이엠더블유,12.3,2026-04-02 10:36:57
11,범고래,RFHIC,12.2,2026-04-02 10:36:57
11,범고래,오이솔루션,10.5,2026-04-02 10:36:57
11,범고래,쏠리드,10.2,2026-04-02 10:36:57
11,범고래,아주IB투자,7.2,2026-04-02 10:36:57
11,범고래,미래에셋벤처투자,7.0,2026-04-02 10:36:57
11,범고래,이노와이어리스,6.8,2026-04-02 10:36:57
12,투투,흥아해운,17.2,2026-04-02 10:36:59
12,투투,HD현대에너지솔루션,15.6,2026-04-02 10:36:59
12,투투,SK오션플랜트,14.4,2026-04-02 10:36:59
12,투투,제닉,10.0,2026-04-02 10:36:59
12,투투,대한해운,9.7,2026-04-02 10:36:59
12,투투,SK이터닉스,0.0,2026-04-02 10:36:59
12,투투,셀바스AI,0.0,2026-04-02 10:36:59
13,ppoooiiii,LIG넥스원,18.5,2026-04-02 10:37:01
13,ppoooiiii,HD현대에너지솔루션,15.3,2026-04-02 10:37:01
13,ppoooiiii,SK하이닉스,15.3,2026-04-02 10:37:01
13,ppoooiiii,두산테스나,14.1,2026-04-02 10:37:01
13,ppoooiiii,삼성중공업,13.0,2026-04-02 10:37:01
13,ppoooiiii,알지노믹스,11.6,2026-04-02 10:37:01
13,ppoooiiii,로보티즈,10.6,2026-04-02 10:37:01
14,꾸준함대기만성,보성파워텍,0.0,2026-04-02 10:37:03
14,꾸준함대기만성,OCI홀딩스,0.0,2026-04-02 10:37:03
14,꾸준함대기만성,LG이노텍,0.0,2026-04-02 10:37:03
14,꾸준함대기만성,아주IB투자,0.0,2026-04-02 10:37:03
14,꾸준함대기만성,삼성생명,0.0,2026-04-02 10:37:03
14,꾸준함대기만성,엘앤에프,0.0,2026-04-02 10:37:03
14,꾸준함대기만성,덕산하이메탈,0.0,2026-04-02 10:37:03
14,꾸준함대기만성,비에이치아이,0.0,2026-04-02 10:37:03
14,꾸준함대기만성,현대글로비스,0.0,2026-04-02 10:37:03
14,꾸준함대기만성,ISC,0.0,2026-04-02 10:37:03
15,알고픽,오이솔루션,18.9,2026-04-02 10:37:05
15,알고픽,에치에프알,17.6,2026-04-02 10:37:05
15,알고픽,현대건설,15.4,2026-04-02 10:37:05
15,알고픽,피에스케이,15.3,2026-04-02 10:37:05
15,알고픽,주성엔지니어링,15.1,2026-04-02 10:37:05
15,알고픽,비에이치아이,9.3,2026-04-02 10:37:05
15,알고픽,로보티즈,3.5,2026-04-02 10:37:05
16,GIC_서동건,한화에어로스페이스,11.0,2026-04-02 10:37:06
16,GIC_서동건,HD건설기계,10.9,2026-04-02 10:37:06
16,GIC_서동건,한진칼,10.3,2026-04-02 10:37:06
16,GIC_서동건,SK하이닉스,10.2,2026-04-02 10:37:06
16,GIC_서동건,삼성물산,10.2,2026-04-02 10:37:06
16,GIC_서동건,KB금융,10.1,2026-04-02 10:37:06
16,GIC_서동건,HD현대일렉트릭,10.0,2026-04-02 10:37:06
16,GIC_서동건,POSCO홀딩스,9.1,2026-04-02 10:37:06
16,GIC_서동건,한국가스공사,8.8,2026-04-02 10:37:06
16,GIC_서동건,삼양식품,5.8,2026-04-02 10:37:06
17,증명,SK오션플랜트,12.1,2026-04-02 10:37:08
17,증명,HD현대에너지솔루션,10.5,2026-04-02 10:37:08
17,증명,씨에스윈드,10.1,2026-04-02 10:37:08
17,증명,SK이터닉스,9.9,2026-04-02 10:37:08
17,증명,흥아해운,8.4,2026-04-02 10:37:08
17,증명,대우건설,4.4,2026-04-02 10:37:08
17,증명,대한광통신,3.3,2026-04-02 10:37:08
17,증명,HD건설기계,2.8,2026-04-02 10:37:08
17,증명,삼성전자,2.5,2026-04-02 10:37:08
17,증명,SK하이닉스,2.3,2026-04-02 10:37:08
18,대웅제약,HD현대에너지솔루션,15.8,2026-04-02 10:37:10
18,대웅제약,삼성SDI,14.9,2026-04-02 10:37:10
18,대웅제약,흥아해운,14.9,2026-04-02 10:37:10
18,대웅제약,삼양식품,9.5,2026-04-02 10:37:10
18,대웅제약,하나금융지주,4.8,2026-04-02 10:37:10
18,대웅제약,신한지주,4.7,2026-04-02 10:37:10
18,대웅제약,KB금융,4.7,2026-04-02 10:37:10
19,부산대SMP,LIG넥스원,17.3,2026-04-02 10:37:12
19,부산대SMP,엘앤에프,15.1,2026-04-02 10:37:12
19,부산대SMP,삼성전자,15.0,2026-04-02 10:37:12
19,부산대SMP,삼성SDI,14.5,2026-04-02 10:37:12
19,부산대SMP,인텔리안테크,12.0,2026-04-02 10:37:12
19,부산대SMP,OCI홀딩스,10.3,2026-04-02 10:37:12
19,부산대SMP,현대차,6.0,2026-04-02 10:37:12
19,부산대SMP,기업은행,5.0,2026-04-02 10:37:12
19,부산대SMP,삼양식품,4.8,2026-04-02 10:37:12
19,부산대SMP,삼성E&A,0.0,2026-04-02 10:37:12
20,강서윤,삼성전자,29.7,2026-04-02 10:37:14
20,강서윤,대한광통신,17.5,2026-04-02 10:37:14
20,강서윤,현대무벡스,15.8,2026-04-02 10:37:14
20,강서윤,네오티스,14.3,2026-04-02 10:37:14
20,강서윤,미래에셋증권,13.1,2026-04-02 10:37:14
20,강서윤,삼천당제약,9.3,2026-04-02 10:37:14
