rank,user_nick,stock_name,weight,scraped_at
1,댕이,HD현대에너지솔루션,15.0,2026-04-03 13:21:14
1,댕이,쏠리드,14.7,2026-04-03 13:21:14
1,댕이,SK오션플랜트,14.1,2026-04-03 13:21:14
1,댕이,씨에스윈드,10.5,2026-04-03 13:21:14
1,댕이,유니슨,10.3,2026-04-03 13:21:14
1,댕이,한화솔루션,10.1,2026-04-03 13:21:14
1,댕이,DL이앤씨,10.0,2026-04-03 13:21:14
1,댕이,SK이터닉스,5.1,2026-04-03 13:21:14
1,댕이,대명에너지,5.1,2026-04-03 13:21:14
2,신이라도 된 기분,HD현대에너지솔루션,14.8,2026-04-03 13:21:16
2,신이라도 된 기분,삼성E&A,12.9,2026-04-03 13:21:16
2,신이라도 된 기분,피노,12.9,2026-04-03 13:21:16
2,신이라도 된 기분,대한조선,11.3,2026-04-03 13:21:16
2,신이라도 된 기분,엘앤에프,9.9,2026-04-03 13:21:16
2,신이라도 된 기분,세아제강지주,9.8,2026-04-03 13:21:16
2,신이라도 된 기분,SK이터닉스,9.5,2026-04-03 13:21:16
2,신이라도 된 기분,에이피알,8.4,2026-04-03 13:21:16
2,신이라도 된 기분,선익시스템,6.6,2026-04-03 13:21:16
2,신이라도 된 기분,펄어비스,3.0,2026-04-03 13:21:16
3,성보물산,LIG넥스원,14.9,2026-04-03 13:21:19
3,성보물산,HD현대중공업,14.7,2026-04-03 13:21:19
3,성보물산,SK오션플랜트,13.8,2026-04-03 13:21:19
3,성보물산,액스비스,13.4,2026-04-03 13:21:19
3,성보물산,HD현대에너지솔루션,10.2,2026-04-03 13:21:19
3,성보물산,SK이터닉스,9.6,2026-04-03 13:21:19
3,성보물산,OCI홀딩스,9.5,2026-04-03 13:21:19
3,성보물산,엘앤에프,0.0,2026-04-03 13:21:19
3,성보물산,대한광통신,0.0,2026-04-03 13:21:19
3,성보물산,두산퓨얼셀,0.0,2026-04-03 13:21:19
4,원금만주세요,HD현대에너지솔루션,17.3,2026-04-03 13:21:21
4,원금만주세요,LIG넥스원,14.9,2026-04-03 13:21:21
4,원금만주세요,포스코인터내셔널,14.7,2026-04-03 13:21:21
4,원금만주세요,SK이터닉스,11.4,2026-04-03 13:21:21
4,원금만주세요,대한조선,7.3,2026-04-03 13:21:21
4,원금만주세요,삼성중공업,7.2,2026-04-03 13:21:21
5,국스트,피노,14.4,2026-04-03 13:21:23
5,국스트,HD현대에너지솔루션,12.9,2026-04-03 13:21:23
5,국스트,와이지-원,10.4,2026-04-03 13:21:23
