rank,user_nick,stock_name,weight,scraped_at
1,HYSW_ij,파이버프로,15.6,2026-04-03 09:11:56
1,HYSW_ij,대한광통신,14.8,2026-04-03 09:11:56
1,HYSW_ij,쎄트렉아이,14.7,2026-04-03 09:11:56
1,HYSW_ij,한국항공우주,14.1,2026-04-03 09:11:56
1,HYSW_ij,인텔리안테크,14.1,2026-04-03 09:11:56
1,HYSW_ij,스피어,13.9,2026-04-03 09:11:56
1,HYSW_ij,이노스페이스,13.0,2026-04-03 09:11:56
2,고호h,RFHIC,15.9,2026-04-03 09:11:58
2,고호h,스피어,15.5,2026-04-03 09:11:58
2,고호h,파이버프로,15.2,2026-04-03 09:11:58
2,고호h,엘앤에프,14.8,2026-04-03 09:11:58
2,고호h,흥아해운,13.1,2026-04-03 09:11:58
2,고호h,POSCO홀딩스,10.3,2026-04-03 09:11:58
2,고호h,흥구석유,10.1,2026-04-03 09:11:58
2,고호h,에코프로,4.7,2026-04-03 09:11:58
3,STAR_CHAMP,대한광통신,17.4,2026-04-03 09:11:59
3,STAR_CHAMP,태광,15.0,2026-04-03 09:11:59
3,STAR_CHAMP,기가비스,14.5,2026-04-03 09:11:59
3,STAR_CHAMP,대한조선,14.3,2026-04-03 09:11:59
3,STAR_CHAMP,스피어,13.5,2026-04-03 09:11:59
3,STAR_CHAMP,대한항공,9.1,2026-04-03 09:11:59
3,STAR_CHAMP,오이솔루션,5.5,2026-04-03 09:11:59
4,JDI윤정두,삼성전자,19.4,2026-04-03 09:12:01
4,JDI윤정두,대한광통신,17.3,2026-04-03 09:12:01
4,JDI윤정두,대우건설,15.3,2026-04-03 09:12:01
4,JDI윤정두,현대무벡스,14.6,2026-04-03 09:12:01
4,JDI윤정두,SK하이닉스,14.6,2026-04-03 09:12:01
4,JDI윤정두,한화솔루션,9.7,2026-04-03 09:12:01
4,JDI윤정두,펄어비스,9.2,2026-04-03 09:12:01
5,이불쟁이,RFHIC,14.9,2026-04-03 09:12:03
5,이불쟁이,오이솔루션,14.9,2026-04-03 09:12:03
5,이불쟁이,삼성전자,14.5,2026-04-03 09:12:03
5,이불쟁이,SK하이닉스,13.8,2026-04-03 09:12:03
5,이불쟁이,대우건설,13.7,2026-04-03 09:12:03
5,이불쟁이,케이엠더블유,12.1,2026-04-03 09:12:03
5,이불쟁이,쏠리드,11.5,2026-04-03 09:12:03
5,이불쟁이,이노와이어리스,4.0,2026-04-03 09:12:03
5,이불쟁이,이수페타시스,0.0,2026-04-03 09:12:03
5,이불쟁이,유비쿼스,0.0,2026-04-03 09:12:03
6,증명,삼성전자,31.2,2026-04-03 09:12:04
6,증명,대한광통신,15.7,2026-04-03 09:12:04
6,증명,SK하이닉스,13.0,2026-04-03 09:12:04
6,증명,한올바이오파마,3.3,2026-04-03 09:12:04
6,증명,동국제약,2.0,2026-04-03 09:12:04
6,증명,SK오션플랜트,1.1,2026-04-03 09:12:04
6,증명,HD현대에너지솔루션,1.1,2026-04-03 09:12:04
6,증명,LIG넥스원,1.0,2026-04-03 09:12:04
6,증명,SK이터닉스,1.0,2026-04-03 09:12:04
6,증명,한화에어로스페이스,0.9,2026-04-03 09:12:04
7,SMP_너구리학살중,대한광통신,16.6,2026-04-03 09:12:06
7,SMP_너구리학살중,오이솔루션,14.8,2026-04-03 09:12:06
7,SMP_너구리학살중,서진시스템,14.0,2026-04-03 09:12:06
7,SMP_너구리학살중,로보티즈,13.9,2026-04-03 09:12:06
7,SMP_너구리학살중,에코프로머티,13.7,2026-04-03 09:12:06
7,SMP_너구리학살중,한국피아이엠,13.0,2026-04-03 09:12:06
7,SMP_너구리학살중,SK증권,1.1,2026-04-03 09:12:06
7,SMP_너구리학살중,알지노믹스,0.0,2026-04-03 09:12:06
8,이문동 에드소프,대한광통신,18.9,2026-04-03 09:12:08
8,이문동 에드소프,대우건설,14.3,2026-04-03 09:12:08
8,이문동 에드소프,미래에셋벤처투자,14.0,2026-04-03 09:12:08
8,이문동 에드소프,현대무벡스,13.3,2026-04-03 09:12:08
8,이문동 에드소프,삼성E&A,9.9,2026-04-03 09:12:08
8,이문동 에드소프,SK이터닉스,9.4,2026-04-03 09:12:08
8,이문동 에드소프,오이솔루션,5.6,2026-04-03 09:12:08
8,이문동 에드소프,알멕,5.2,2026-04-03 09:12:08
8,이문동 에드소프,RFHIC,4.0,2026-04-03 09:12:08
8,이문동 에드소프,한국피아이엠,1.1,2026-04-03 09:12:08
9,리튬,대한광통신,15.9,2026-04-03 09:12:09
9,리튬,쎄트렉아이,10.6,2026-04-03 09:12:09
9,리튬,HD현대에너지솔루션,10.4,2026-04-03 09:12:09
9,리튬,인텔리안테크,10.4,2026-04-03 09:12:09
9,리튬,아이티센글로벌,10.0,2026-04-03 09:12:09
9,리튬,미래에셋벤처투자,10.0,2026-04-03 09:12:09
9,리튬,비나텍,9.8,2026-04-03 09:12:09
9,리튬,그래피,9.6,2026-04-03 09:12:09
9,리튬,코나아이,9.6,2026-04-03 09:12:09
9,리튬,두산테스나,8.8,2026-04-03 09:12:09
10,성보물산,액스비스,14.6,2026-04-03 09:12:11
10,성보물산,SK오션플랜트,14.5,2026-04-03 09:12:11
10,성보물산,LIG넥스원,14.2,2026-04-03 09:12:11
10,성보물산,엘앤에프,12.3,2026-04-03 09:12:11
10,성보물산,SK이터닉스,9.5,2026-04-03 09:12:11
10,성보물산,OCI홀딩스,9.3,2026-04-03 09:12:11
10,성보물산,대한광통신,6.6,2026-04-03 09:12:11
11,파랑개구리,삼성SDI,13.6,2026-04-03 09:12:13
11,파랑개구리,대한광통신,12.0,2026-04-03 09:12:13
11,파랑개구리,삼성전자,9.9,2026-04-03 09:12:13
11,파랑개구리,LIG넥스원,8.5,2026-04-03 09:12:13
11,파랑개구리,삼성E&A,8.3,2026-04-03 09:12:13
11,파랑개구리,OCI홀딩스,7.8,2026-04-03 09:12:13
11,파랑개구리,엘앤에프,7.7,2026-04-03 09:12:13
11,파랑개구리,SK오션플랜트,7.6,2026-04-03 09:12:13
11,파랑개구리,오이솔루션,6.8,2026-04-03 09:12:13
11,파랑개구리,인텔리안테크,6.2,2026-04-03 09:12:13
12,수저가,대한광통신,17.3,2026-04-03 09:12:14
12,수저가,삼성전기,15.1,2026-04-03 09:12:14
12,수저가,미래에셋증권,14.7,2026-04-03 09:12:14
12,수저가,삼성전자,14.7,2026-04-03 09:12:14
12,수저가,오이솔루션,14.6,2026-04-03 09:12:14
12,수저가,올릭스,13.7,2026-04-03 09:12:14
12,수저가,SK하이닉스,9.8,2026-04-03 09:12:14
13,풍림화산,대우건설,12.3,2026-04-03 09:12:16
13,풍림화산,에치에프알,12.3,2026-04-03 09:12:16
13,풍림화산,RFHIC,12.3,2026-04-03 09:12:16
13,풍림화산,DL이앤씨,12.2,2026-04-03 09:12:16
13,풍림화산,케이엠더블유,12.2,2026-04-03 09:12:16
