rank,user_nick,stock_name,weight,scraped_at
1,고호h,오이솔루션,18.0,2026-04-02 09:55:24
1,고호h,성호전자,16.6,2026-04-02 09:55:24
1,고호h,파이버프로,16.5,2026-04-02 09:55:24
1,고호h,스피어,15.4,2026-04-02 09:55:24
1,고호h,케이엠더블유,15.4,2026-04-02 09:55:24
1,고호h,RFHIC,9.1,2026-04-02 09:55:24
1,고호h,기가비스,9.0,2026-04-02 09:55:24
1,고호h,에이피알,0.0,2026-04-02 09:55:24
1,고호h,파두,0.0,2026-04-02 09:55:24
1,고호h,코리아써키트,0.0,2026-04-02 09:55:24
2,SMP_너구리학살중,로보티즈,14.7,2026-04-02 09:55:26
2,SMP_너구리학살중,에코프로머티,14.6,2026-04-02 09:55:26
2,SMP_너구리학살중,대한광통신,14.1,2026-04-02 09:55:26
2,SMP_너구리학살중,서진시스템,13.9,2026-04-02 09:55:26
2,SMP_너구리학살중,알지노믹스,13.4,2026-04-02 09:55:26
2,SMP_너구리학살중,한국피아이엠,12.0,2026-04-02 09:55:26
2,SMP_너구리학살중,오이솔루션,10.5,2026-04-02 09:55:26
2,SMP_너구리학살중,SK증권,7.0,2026-04-02 09:55:26
2,SMP_너구리학살중,HD현대에너지솔루션,0.0,2026-04-02 09:55:26
3,HYSW_ij,쎄트렉아이,15.2,2026-04-02 09:55:28
3,HYSW_ij,한국항공우주,14.9,2026-04-02 09:55:28
3,HYSW_ij,스피어,14.7,2026-04-02 09:55:28
3,HYSW_ij,파이버프로,14.7,2026-04-02 09:55:28
3,HYSW_ij,인텔리안테크,14.0,2026-04-02 09:55:28
3,HYSW_ij,이노스페이스,13.7,2026-04-02 09:55:28
3,HYSW_ij,대한광통신,13.0,2026-04-02 09:55:28
4,강서윤,삼성전자,29.8,2026-04-02 09:55:30
4,강서윤,대한광통신,17.2,2026-04-02 09:55:30
4,강서윤,현대무벡스,15.8,2026-04-02 09:55:30
4,강서윤,네오티스,14.3,2026-04-02 09:55:30
4,강서윤,미래에셋증권,13.3,2026-04-02 09:55:30
4,강서윤,삼천당제약,9.4,2026-04-02 09:55:30
5,shhh,삼성전자,15.2,2026-04-02 09:55:32
5,shhh,엘앤에프,14.5,2026-04-02 09:55:32
5,shhh,한미반도체,13.6,2026-04-02 09:55:32
5,shhh,삼성전기,13.3,2026-04-02 09:55:32
5,shhh,리노공업,11.3,2026-04-02 09:55:32
5,shhh,SK스퀘어,6.0,2026-04-02 09:55:32
5,shhh,원익홀딩스,4.9,2026-04-02 09:55:32
5,shhh,성호전자,0.0,2026-04-02 09:55:32
5,shhh,대우건설,0.0,2026-04-02 09:55:32
5,shhh,대한광통신,0.0,2026-04-02 09:55:32
6,죠스,LIG넥스원,10.7,2026-04-02 09:55:34
6,죠스,삼성전기,10.0,2026-04-02 09:55:34
6,죠스,한화에어로스페이스,8.7,2026-04-02 09:55:34
6,죠스,한국항공우주,8.0,2026-04-02 09:55:34
6,죠스,대덕전자,7.5,2026-04-02 09:55:34
