rank,user_nick,stock_name,weight,scraped_at
1,고호h,오이솔루션,17.5,2026-04-02 08:51:32
1,고호h,성호전자,17.1,2026-04-02 08:51:32
1,고호h,파이버프로,16.2,2026-04-02 08:51:32
1,고호h,케이엠더블유,15.6,2026-04-02 08:51:32
1,고호h,스피어,15.0,2026-04-02 08:51:32
1,고호h,RFHIC,9.4,2026-04-02 08:51:32
1,고호h,코리아써키트,6.9,2026-04-02 08:51:32
1,고호h,파두,1.6,2026-04-02 08:51:32
1,고호h,에이피알,0.7,2026-04-02 08:51:32
2,이불쟁이,대우건설,15.1,2026-04-02 08:51:34
2,이불쟁이,삼성전자,14.8,2026-04-02 08:51:34
2,이불쟁이,오이솔루션,14.2,2026-04-02 08:51:34
2,이불쟁이,SK하이닉스,14.1,2026-04-02 08:51:34
2,이불쟁이,RFHIC,10.8,2026-04-02 08:51:34
2,이불쟁이,쏠리드,9.8,2026-04-02 08:51:34
2,이불쟁이,이수페타시스,9.6,2026-04-02 08:51:34
2,이불쟁이,케이엠더블유,7.0,2026-04-02 08:51:34
2,이불쟁이,유비쿼스,4.7,2026-04-02 08:51:34
3,SMP_너구리학살중,로보티즈,14.5,2026-04-02 08:51:36
3,SMP_너구리학살중,알지노믹스,14.5,2026-04-02 08:51:36
3,SMP_너구리학살중,에코프로머티,14.2,2026-04-02 08:51:36
3,SMP_너구리학살중,서진시스템,13.9,2026-04-02 08:51:36
3,SMP_너구리학살중,한국피아이엠,11.7,2026-04-02 08:51:36
3,SMP_너구리학살중,SK증권,11.1,2026-04-02 08:51:36
3,SMP_너구리학살중,대한광통신,11.1,2026-04-02 08:51:36
3,SMP_너구리학살중,오이솔루션,7.1,2026-04-02 08:51:36
3,SMP_너구리학살중,HD현대에너지솔루션,2.0,2026-04-02 08:51:36
4,달관,오이솔루션,18.2,2026-04-02 08:51:38
4,달관,성호전자,17.7,2026-04-02 08:51:38
4,달관,삼성전자,16.0,2026-04-02 08:51:38
4,달관,RFHIC,15.5,2026-04-02 08:51:38
4,달관,파두,14.7,2026-04-02 08:51:38
4,달관,씨에스윈드,12.1,2026-04-02 08:51:38
4,달관,녹십자웰빙,5.8,2026-04-02 08:51:38
5,스톡홀리데이,삼성전자,42.6,2026-04-02 08:51:40
5,스톡홀리데이,대우건설,17.6,2026-04-02 08:51:40
5,스톡홀리데이,알지노믹스,16.2,2026-04-02 08:51:40
5,스톡홀리데이,SK하이닉스,15.5,2026-04-02 08:51:40
5,스톡홀리데이,미래에셋증권,15.2,2026-04-02 08:51:40
6,알고픽,오이솔루션,18.2,2026-04-02 08:51:41
6,알고픽,에치에프알,17.2,2026-04-02 08:51:41
6,알고픽,현대건설,15.9,2026-04-02 08:51:41
6,알고픽,피에스케이,15.3,2026-04-02 08:51:41
6,알고픽,주성엔지니어링,15.1,2026-04-02 08:51:41
6,알고픽,비에이치아이,14.9,2026-04-02 08:51:41
7,부산대SMP,LIG넥스원,17.0,2026-04-02 08:51:43
7,부산대SMP,삼성전자,15.2,2026-04-02 08:51:43
7,부산대SMP,삼성E&A,14.6,2026-04-02 08:51:43
7,부산대SMP,SK하이닉스,12.8,2026-04-02 08:51:43
7,부산대SMP,인텔리안테크,12.1,2026-04-02 08:51:43
7,부산대SMP,LS머트리얼즈,9.7,2026-04-02 08:51:43
7,부산대SMP,현대차,9.0,2026-04-02 08:51:43
7,부산대SMP,기업은행,4.8,2026-04-02 08:51:43
7,부산대SMP,삼양식품,4.8,2026-04-02 08:51:43
8,shhh,대우건설,13.9,2026-04-02 08:51:50
8,shhh,삼성전기,13.6,2026-04-02 08:51:50
8,shhh,한미반도체,13.5,2026-04-02 08:51:50
8,shhh,대한광통신,13.4,2026-04-02 08:51:50
8,shhh,리노공업,11.5,2026-04-02 08:51:50
8,shhh,삼성전자,10.3,2026-04-02 08:51:50
8,shhh,성호전자,8.5,2026-04-02 08:51:50
8,shhh,엘앤에프,6.8,2026-04-02 08:51:50
9,야롱,파두,14.2,2026-04-02 08:51:57
9,야롱,이오테크닉스,14.0,2026-04-02 08:51:57
9,야롱,신성델타테크,13.9,2026-04-02 08:51:57
9,야롱,강스템바이오텍,13.2,2026-04-02 08:51:57
9,야롱,아모센스,13.0,2026-04-02 08:51:57
9,야롱,파라다이스,12.9,2026-04-02 08:51:57
9,야롱,효성티앤씨,9.0,2026-04-02 08:51:57
9,야롱,NHN,8.8,2026-04-02 08:51:57
10,살아남아야한다,삼성전자,16.1,2026-04-02 08:52:04
10,살아남아야한다,HD현대마린솔루션,14.8,2026-04-02 08:52:04
10,살아남아야한다,로보티즈,14.6,2026-04-02 08:52:04
10,살아남아야한다,SK하이닉스,14.5,2026-04-02 08:52:04
10,살아남아야한다,지투지바이오,14.4,2026-04-02 08:52:04
10,살아남아야한다,현대차,10.4,2026-04-02 08:52:04
10,살아남아야한다,한화솔루션,9.6,2026-04-02 08:52:04
10,살아남아야한다,LIG넥스원,6.1,2026-04-02 08:52:04
11,그럼에도불구,LG이노텍,15.0,2026-04-02 08:52:11
11,그럼에도불구,ISC,14.9,2026-04-02 08:52:11
11,그럼에도불구,노타,14.9,2026-04-02 08:52:11
11,그럼에도불구,코리아써키트,14.8,2026-04-02 08:52:11
11,그럼에도불구,DN오토모티브,11.3,2026-04-02 08:52:11
11,그럼에도불구,효성티앤씨,10.2,2026-04-02 08:52:11
11,그럼에도불구,스피어,10.1,2026-04-02 08:52:11
11,그럼에도불구,씨엠티엑스,5.0,2026-04-02 08:52:11
12,이것뭐예요,삼성전자,22.7,2026-04-02 08:52:18
12,이것뭐예요,알지노믹스,16.4,2026-04-02 08:52:18
12,이것뭐예요,SGC에너지,10.0,2026-04-02 08:52:18
12,이것뭐예요,오이솔루션,9.8,2026-04-02 08:52:18
12,이것뭐예요,RFHIC,9.6,2026-04-02 08:52:18
12,이것뭐예요,파두,7.7,2026-04-02 08:52:18
12,이것뭐예요,LIG넥스원,6.1,2026-04-02 08:52:18
13,ppoooiiii,LIG넥스원,18.6,2026-04-02 08:52:25
13,ppoooiiii,알지노믹스,16.4,2026-04-02 08:52:25
13,ppoooiiii,삼성중공업,15.8,2026-04-02 08:52:25
13,ppoooiiii,SK하이닉스,15.8,2026-04-02 08:52:25
13,ppoooiiii,두산테스나,14.5,2026-04-02 08:52:25
13,ppoooiiii,HD현대에너지솔루션,14.1,2026-04-02 08:52:25
13,ppoooiiii,로보티즈,10.6,2026-04-02 08:52:25
14,꼬동,삼성전자,29.4,2026-04-02 08:52:27
14,꼬동,리노공업,15.0,2026-04-02 08:52:27
14,꼬동,SK증권,14.6,2026-04-02 08:52:27
14,꼬동,스피어,10.1,2026-04-02 08:52:27
14,꼬동,LS ELECTRIC,9.9,2026-04-02 08:52:27
14,꼬동,기가비스,7.6,2026-04-02 08:52:27
14,꼬동,에이피알,6.9,2026-04-02 08:52:27
14,꼬동,파두,4.9,2026-04-02 08:52:27
15,파랑개구리,에치에프알,13.0,2026-04-02 08:52:29
15,파랑개구리,LIG넥스원,12.6,2026-04-02 08:52:29
15,파랑개구리,대덕전자,11.5,2026-04-02 08:52:29
15,파랑개구리,오이솔루션,11.5,2026-04-02 08:52:29
15,파랑개구리,대한광통신,11.3,2026-04-02 08:52:29
15,파랑개구리,LS ELECTRIC,7.7,2026-04-02 08:52:29
15,파랑개구리,SK오션플랜트,7.5,2026-04-02 08:52:29
15,파랑개구리,원익IPS,7.2,2026-04-02 08:52:29
15,파랑개구리,피에스케이,6.2,2026-04-02 08:52:29
15,파랑개구리,알지노믹스,5.7,2026-04-02 08:52:29
16,범고래,RFHIC,13.1,2026-04-02 08:52:35
16,범고래,대한광통신,13.0,2026-04-02 08:52:35
16,범고래,케이엠더블유,12.8,2026-04-02 08:52:35
16,범고래,오이솔루션,10.4,2026-04-02 08:52:35
16,범고래,쏠리드,9.8,2026-04-02 08:52:35
16,범고래,아주IB투자,7.5,2026-04-02 08:52:35
16,범고래,미래에셋벤처투자,7.3,2026-04-02 08:52:35
16,범고래,이노와이어리스,6.8,2026-04-02 08:52:35
17,GIC_서동건,HD건설기계,11.2,2026-04-02 08:52:42
17,GIC_서동건,SK하이닉스,10.5,2026-04-02 08:52:42
17,GIC_서동건,한진칼,10.4,2026-04-02 08:52:42
17,GIC_서동건,삼성물산,10.3,2026-04-02 08:52:42
17,GIC_서동건,한화에어로스페이스,10.2,2026-04-02 08:52:42
17,GIC_서동건,KB금융,10.0,2026-04-02 08:52:42
17,GIC_서동건,POSCO홀딩스,9.0,2026-04-02 08:52:42
17,GIC_서동건,한국가스공사,8.8,2026-04-02 08:52:42
18,쭈돌이,삼성전자,43.4,2026-04-02 08:52:49
18,쭈돌이,한국항공우주,16.4,2026-04-02 08:52:49
18,쭈돌이,로보티즈,15.9,2026-04-02 08:52:49
18,쭈돌이,에스피지,15.3,2026-04-02 08:52:49
19,죠스,LIG넥스원,11.0,2026-04-02 08:52:56
19,죠스,삼성전기,10.4,2026-04-02 08:52:56
19,죠스,대한광통신,8.4,2026-04-02 08:52:56
19,죠스,한화에어로스페이스,8.2,2026-04-02 08:52:56
19,죠스,한국항공우주,8.0,2026-04-02 08:52:56
19,죠스,대덕전자,8.0,2026-04-02 08:52:56
19,죠스,SK이터닉스,7.6,2026-04-02 08:52:56
19,죠스,큐라클,7.1,2026-04-02 08:52:56
19,죠스,오름테라퓨틱,6.7,2026-04-02 08:52:56
19,죠스,HD현대에너지솔루션,6.4,2026-04-02 08:52:56
20,RICH_rush,RFHIC,15.5,2026-04-02 08:53:03
20,RICH_rush,LS머트리얼즈,14.8,2026-04-02 08:53:03
20,RICH_rush,대한항공,10.9,2026-04-02 08:53:03
20,RICH_rush,롯데관광개발,7.6,2026-04-02 08:53:03
20,RICH_rush,LS ELECTRIC,6.9,2026-04-02 08:53:03
20,RICH_rush,대한광통신,4.5,2026-04-02 08:53:03
20,RICH_rush,아이씨티케이,4.4,2026-04-02 08:53:03
20,RICH_rush,오이솔루션,4.4,2026-04-02 08:53:03
20,RICH_rush,미래에셋벤처투자,4.3,2026-04-02 08:53:03
20,RICH_rush,인터플렉스,4.2,2026-04-02 08:53:03
22,숭금,LIG넥스원,18.7,2026-04-02 08:53:17
22,숭금,삼성전기,14.8,2026-04-02 08:53:17
22,숭금,흥아해운,13.4,2026-04-02 08:53:17
22,숭금,두산에너빌리티,10.1,2026-04-02 08:53:17
22,숭금,한국가스공사,9.8,2026-04-02 08:53:17
22,숭금,삼아알미늄,8.0,2026-04-02 08:53:17
23,이문동 에드소프,대한광통신,14.9,2026-04-02 08:53:24
23,이문동 에드소프,파두,14.9,2026-04-02 08:53:24
23,이문동 에드소프,대우건설,14.8,2026-04-02 08:53:24
23,이문동 에드소프,미래에셋벤처투자,14.4,2026-04-02 08:53:24
23,이문동 에드소프,삼성E&A,10.0,2026-04-02 08:53:24
23,이문동 에드소프,알멕,9.9,2026-04-02 08:53:24
23,이문동 에드소프,SK이터닉스,9.3,2026-04-02 08:53:24
23,이문동 에드소프,오이솔루션,5.5,2026-04-02 08:53:24
23,이문동 에드소프,RFHIC,4.2,2026-04-02 08:53:24
