rank,user_nick,stock_name,weight,scraped_at
1,코스모스,에코프로,,2025-10-29 12:50:29
1,코스모스,포스코퓨처엠,,2025-10-29 12:50:29
1,코스모스,에코프로비엠,,2025-10-29 12:50:29
1,코스모스,삼성SDI,,2025-10-29 12:50:29
1,코스모스,대한전선,,2025-10-29 12:50:29
1,코스모스,한미반도체,,2025-10-29 12:50:29
1,코스모스,코스모신소재,,2025-10-29 12:50:29
1,코스모스,고영,,2025-10-29 12:50:29
1,코스모스,DB하이텍,,2025-10-29 12:50:29
2,사계절투자법,엘앤에프,,2025-10-29 12:50:31
2,사계절투자법,코스모신소재,,2025-10-29 12:50:31
2,사계절투자법,에코프로비엠,,2025-10-29 12:50:31
2,사계절투자법,에코프로머티,,2025-10-29 12:50:31
2,사계절투자법,엔켐,,2025-10-29 12:50:31
2,사계절투자법,대주전자재료,,2025-10-29 12:50:31
2,사계절투자법,이브이첨단소재,,2025-10-29 12:50:31
2,사계절투자법,포스코퓨처엠,,2025-10-29 12:50:31
3,훈식,두산,,2025-10-29 12:50:34
3,훈식,SK하이닉스,,2025-10-29 12:50:34
3,훈식,디아이,,2025-10-29 12:50:34
3,훈식,파미셀,,2025-10-29 12:50:34
3,훈식,이수페타시스,,2025-10-29 12:50:34
3,훈식,HD현대,,2025-10-29 12:50:34
3,훈식,LS ELECTRIC,,2025-10-29 12:50:34
3,훈식,삼성중공업,,2025-10-29 12:50:34
3,훈식,큐리옥스바이오시스템즈,,2025-10-29 12:50:34
3,훈식,HJ중공업,,2025-10-29 12:50:34
4,귀여운바위게,에코프로,,2025-10-29 12:50:36
4,귀여운바위게,삼성SDI,,2025-10-29 12:50:36
4,귀여운바위게,삼성중공업,,2025-10-29 12:50:36
4,귀여운바위게,코스모신소재,,2025-10-29 12:50:36
4,귀여운바위게,로보스타,,2025-10-29 12:50:36
4,귀여운바위게,에코프로비엠,,2025-10-29 12:50:36
4,귀여운바위게,이수페타시스,,2025-10-29 12:50:36
4,귀여운바위게,클로봇,,2025-10-29 12:50:36
4,귀여운바위게,한중엔시에스,,2025-10-29 12:50:36
4,귀여운바위게,포스코DX,,2025-10-29 12:50:36
5,숭실숭실해,SK하이닉스,,2025-10-29 12:50:39
5,숭실숭실해,삼성SDI,,2025-10-29 12:50:39
5,숭실숭실해,한화오션,,2025-10-29 12:50:39
5,숭실숭실해,LG에너지솔루션,,2025-10-29 12:50:39
5,숭실숭실해,두산에너빌리티,,2025-10-29 12:50:39
5,숭실숭실해,한미반도체,,2025-10-29 12:50:39
5,숭실숭실해,에코프로비엠,,2025-10-29 12:50:39
5,숭실숭실해,고려아연,,2025-10-29 12:50:39
5,숭실숭실해,미래에셋증권,,2025-10-29 12:50:39
5,숭실숭실해,코스모신소재,,2025-10-29 12:50:39
6,보라색맛나,SK하이닉스,,2025-10-29 12:50:41
6,보라색맛나,이수페타시스,,2025-10-29 12:50:41
6,보라색맛나,포스코퓨처엠,,2025-10-29 12:50:41
6,보라색맛나,삼성중공업,,2025-10-29 12:50:41
6,보라색맛나,해성디에스,,2025-10-29 12:50:41
6,보라색맛나,HD현대미포,,2025-10-29 12:50:41
6,보라색맛나,KCC,,2025-10-29 12:50:41
6,보라색맛나,테크윙,,2025-10-29 12:50:41
6,보라색맛나,한화에어로스페이스,,2025-10-29 12:50:41
6,보라색맛나,한솔케미칼,,2025-10-29 12:50:41
7,santago,포스코퓨처엠,,2025-10-29 12:50:43
7,santago,삼성SDI,,2025-10-29 12:50:43
7,santago,에코프로비엠,,2025-10-29 12:50:43
7,santago,현대건설,,2025-10-29 12:50:43
7,santago,카카오,,2025-10-29 12:50:43
7,santago,포스코DX,,2025-10-29 12:50:43
7,santago,POSCO홀딩스,,2025-10-29 12:50:43
8,RICH_KKK,엘앤에프,,2025-10-29 12:50:45
8,RICH_KKK,삼성SDI,,2025-10-29 12:50:45
8,RICH_KKK,포스코퓨처엠,,2025-10-29 12:50:45
8,RICH_KKK,로보티즈,,2025-10-29 12:50:45
8,RICH_KKK,대주전자재료,,2025-10-29 12:50:45
8,RICH_KKK,대한광통신,,2025-10-29 12:50:45
8,RICH_KKK,두산에너빌리티,,2025-10-29 12:50:45
8,RICH_KKK,비에이치아이,,2025-10-29 12:50:45
8,RICH_KKK,이수스페셜티케미컬,,2025-10-29 12:50:45
8,RICH_KKK,에코프로머티,,2025-10-29 12:50:45
9,MKNT_MIN,엘앤에프,,2025-10-29 12:50:47
9,MKNT_MIN,에코프로비엠,,2025-10-29 12:50:47
9,MKNT_MIN,에코프로머티,,2025-10-29 12:50:47
9,MKNT_MIN,엔켐,,2025-10-29 12:50:47
9,MKNT_MIN,코스모신소재,,2025-10-29 12:50:47
9,MKNT_MIN,한미반도체,,2025-10-29 12:50:47
9,MKNT_MIN,에코프로,,2025-10-29 12:50:47
9,MKNT_MIN,삼성SDI,,2025-10-29 12:50:47
9,MKNT_MIN,SK하이닉스,,2025-10-29 12:50:47
9,MKNT_MIN,효성중공업,,2025-10-29 12:50:47
10,STAR_박충배,SK하이닉스,,2025-10-29 12:50:49
10,STAR_박충배,두산퓨얼셀,,2025-10-29 12:50:49
10,STAR_박충배,두산,,2025-10-29 12:50:49
10,STAR_박충배,해성디에스,,2025-10-29 12:50:49
10,STAR_박충배,에코프로비엠,,2025-10-29 12:50:49
10,STAR_박충배,한국전력,,2025-10-29 12:50:49
10,STAR_박충배,대덕전자,,2025-10-29 12:50:49
10,STAR_박충배,원익IPS,,2025-10-29 12:50:49
10,STAR_박충배,LG이노텍,,2025-10-29 12:50:49
10,STAR_박충배,삼성중공업,,2025-10-29 12:50:49
11,아일렉스,SK하이닉스,,2025-10-29 12:50:51
11,아일렉스,두산에너빌리티,,2025-10-29 12:50:51
11,아일렉스,삼성전자,,2025-10-29 12:50:51
11,아일렉스,심텍,,2025-10-29 12:50:51
11,아일렉스,엘앤에프,,2025-10-29 12:50:51
11,아일렉스,해성디에스,,2025-10-29 12:50:51
11,아일렉스,삼성중공업,,2025-10-29 12:50:51
11,아일렉스,산일전기,,2025-10-29 12:50:51
11,아일렉스,한화오션,,2025-10-29 12:50:51
11,아일렉스,지엔씨에너지,,2025-10-29 12:50:51
12,이더지마이더야,두산,,2025-10-29 12:50:53
12,이더지마이더야,SK하이닉스,,2025-10-29 12:50:53
12,이더지마이더야,엘앤에프,,2025-10-29 12:50:53
12,이더지마이더야,한미반도체,,2025-10-29 12:50:53
12,이더지마이더야,LS ELECTRIC,,2025-10-29 12:50:53
12,이더지마이더야,OCI홀딩스,,2025-10-29 12:50:53
12,이더지마이더야,대덕전자,,2025-10-29 12:50:53
12,이더지마이더야,삼성전자,,2025-10-29 12:50:53
12,이더지마이더야,고려아연,,2025-10-29 12:50:53
12,이더지마이더야,현대건설,,2025-10-29 12:50:53
13,밥주세요,SK하이닉스,,2025-10-29 12:50:55
13,밥주세요,HD현대일렉트릭,,2025-10-29 12:50:55
13,밥주세요,휴림로봇,,2025-10-29 12:50:55
13,밥주세요,산일전기,,2025-10-29 12:50:55
13,밥주세요,LG에너지솔루션,,2025-10-29 12:50:55
13,밥주세요,두산에너빌리티,,2025-10-29 12:50:55
13,밥주세요,두산,,2025-10-29 12:50:55
13,밥주세요,코미코,,2025-10-29 12:50:55
13,밥주세요,하이브,,2025-10-29 12:50:55
13,밥주세요,대덕전자,,2025-10-29 12:50:55
14,딸깍,엘앤에프,,2025-10-29 12:50:57
14,딸깍,대한광통신,,2025-10-29 12:50:57
14,딸깍,포스코퓨처엠,,2025-10-29 12:50:57
14,딸깍,SK하이닉스,,2025-10-29 12:50:57
14,딸깍,중앙첨단소재,,2025-10-29 12:50:57
14,딸깍,에코프로비엠,,2025-10-29 12:50:57
14,딸깍,원익IPS,,2025-10-29 12:50:57
14,딸깍,포스코DX,,2025-10-29 12:50:57
14,딸깍,POSCO홀딩스,,2025-10-29 12:50:57
14,딸깍,에스피지,,2025-10-29 12:50:57
15,이레,엘앤에프,,2025-10-29 12:50:59
15,이레,한미반도체,,2025-10-29 12:50:59
15,이레,일진전기,,2025-10-29 12:50:59
15,이레,고려아연,,2025-10-29 12:50:59
15,이레,효성중공업,,2025-10-29 12:50:59
15,이레,나노신소재,,2025-10-29 12:50:59
15,이레,에코프로,,2025-10-29 12:50:59
15,이레,삼성전자,,2025-10-29 12:50:59
15,이레,삼성SDI,,2025-10-29 12:50:59
15,이레,엘티씨,,2025-10-29 12:50:59
16,고양이를위하여_GIC,SK하이닉스,,2025-10-29 12:51:01
16,고양이를위하여_GIC,LS ELECTRIC,,2025-10-29 12:51:01
16,고양이를위하여_GIC,LS,,2025-10-29 12:51:01
16,고양이를위하여_GIC,HD현대,,2025-10-29 12:51:01
16,고양이를위하여_GIC,삼성전자,,2025-10-29 12:51:01
16,고양이를위하여_GIC,HD현대중공업,,2025-10-29 12:51:01
16,고양이를위하여_GIC,현대차,,2025-10-29 12:51:01
16,고양이를위하여_GIC,삼성SDI,,2025-10-29 12:51:01
16,고양이를위하여_GIC,기아,,2025-10-29 12:51:01
16,고양이를위하여_GIC,한화오션,,2025-10-29 12:51:01
17,felicita,삼성SDI,,2025-10-29 12:51:03
17,felicita,코스모신소재,,2025-10-29 12:51:03
17,felicita,SK하이닉스,,2025-10-29 12:51:03
17,felicita,두산에너빌리티,,2025-10-29 12:51:03
17,felicita,HLB,,2025-10-29 12:51:03
17,felicita,신성델타테크,,2025-10-29 12:51:03
17,felicita,삼성중공업,,2025-10-29 12:51:03
17,felicita,펩트론,,2025-10-29 12:51:03
17,felicita,삼성전자,,2025-10-29 12:51:03
17,felicita,LG전자,,2025-10-29 12:51:03
18,RICH_차가운심장,엘앤에프,,2025-10-29 12:51:05
18,RICH_차가운심장,삼성SDI,,2025-10-29 12:51:05
18,RICH_차가운심장,이수페타시스,,2025-10-29 12:51:05
18,RICH_차가운심장,두산에너빌리티,,2025-10-29 12:51:05
18,RICH_차가운심장,포스코퓨처엠,,2025-10-29 12:51:05
18,RICH_차가운심장,에코프로,,2025-10-29 12:51:05
18,RICH_차가운심장,삼영엠텍,,2025-10-29 12:51:05
18,RICH_차가운심장,LG에너지솔루션,,2025-10-29 12:51:05
18,RICH_차가운심장,삼성전자,,2025-10-29 12:51:05
18,RICH_차가운심장,SK하이닉스,,2025-10-29 12:51:05
19,Happening,SK하이닉스,,2025-10-29 12:51:07
19,Happening,두산에너빌리티,,2025-10-29 12:51:07
19,Happening,삼성전자,,2025-10-29 12:51:07
19,Happening,효성중공업,,2025-10-29 12:51:07
19,Happening,프로티나,,2025-10-29 12:51:07
19,Happening,한미반도체,,2025-10-29 12:51:07
19,Happening,두산,,2025-10-29 12:51:07
19,Happening,현대무벡스,,2025-10-29 12:51:07
19,Happening,로보티즈,,2025-10-29 12:51:07
19,Happening,대덕전자,,2025-10-29 12:51:07
20,HY_TI,엘앤에프,,2025-10-29 12:51:09
20,HY_TI,두산퓨얼셀,,2025-10-29 12:51:09
20,HY_TI,에코프로,,2025-10-29 12:51:09
20,HY_TI,LG에너지솔루션,,2025-10-29 12:51:09
20,HY_TI,HD현대일렉트릭,,2025-10-29 12:51:09
20,HY_TI,미래에셋증권,,2025-10-29 12:51:09
20,HY_TI,포스코퓨처엠,,2025-10-29 12:51:09
20,HY_TI,일진전기,,2025-10-29 12:51:09
20,HY_TI,지엔씨에너지,,2025-10-29 12:51:09
20,HY_TI,강원에너지,,2025-10-29 12:51:09
21,chics,중앙첨단소재,,2025-10-29 12:51:11
21,chics,엘앤에프,,2025-10-29 12:51:11
21,chics,심텍홀딩스,,2025-10-29 12:51:11
21,chics,두산에너빌리티,,2025-10-29 12:51:11
21,chics,심텍,,2025-10-29 12:51:11
21,chics,에코프로머티,,2025-10-29 12:51:11
21,chics,삼성전자,,2025-10-29 12:51:11
21,chics,엔켐,,2025-10-29 12:51:11
21,chics,한국전력,,2025-10-29 12:51:11
21,chics,현대ADM,,2025-10-29 12:51:11
22,묻따꼬삼,SK하이닉스,,2025-10-29 12:51:13
22,묻따꼬삼,HD현대일렉트릭,,2025-10-29 12:51:13
22,묻따꼬삼,두산에너빌리티,,2025-10-29 12:51:13
22,묻따꼬삼,파미셀,,2025-10-29 12:51:13
22,묻따꼬삼,이수페타시스,,2025-10-29 12:51:13
22,묻따꼬삼,한미반도체,,2025-10-29 12:51:13
22,묻따꼬삼,LS,,2025-10-29 12:51:13
22,묻따꼬삼,원익IPS,,2025-10-29 12:51:13
22,묻따꼬삼,에스피지,,2025-10-29 12:51:13
22,묻따꼬삼,현대무벡스,,2025-10-29 12:51:13
23,상습적깡통키커,SK하이닉스,,2025-10-29 12:51:15
23,상습적깡통키커,엘앤에프,,2025-10-29 12:51:15
23,상습적깡통키커,삼성전자,,2025-10-29 12:51:15
23,상습적깡통키커,삼성SDI,,2025-10-29 12:51:15
23,상습적깡통키커,LG에너지솔루션,,2025-10-29 12:51:15
23,상습적깡통키커,포스코퓨처엠,,2025-10-29 12:51:15
23,상습적깡통키커,두산,,2025-10-29 12:51:15
23,상습적깡통키커,두산에너빌리티,,2025-10-29 12:51:15
23,상습적깡통키커,심텍,,2025-10-29 12:51:15
23,상습적깡통키커,SK스퀘어,,2025-10-29 12:51:15
24,까만흰둥이,삼성SDI,,2025-10-29 12:51:17
24,까만흰둥이,한미반도체,,2025-10-29 12:51:17
24,까만흰둥이,에코프로,,2025-10-29 12:51:17
24,까만흰둥이,심텍,,2025-10-29 12:51:17
24,까만흰둥이,LG에너지솔루션,,2025-10-29 12:51:17
24,까만흰둥이,LS ELECTRIC,,2025-10-29 12:51:17
24,까만흰둥이,휴림로봇,,2025-10-29 12:51:17
24,까만흰둥이,두산퓨얼셀,,2025-10-29 12:51:17
24,까만흰둥이,비에이치아이,,2025-10-29 12:51:17
24,까만흰둥이,LG화학,,2025-10-29 12:51:17
25,사계,SK하이닉스,,2025-10-29 12:51:19
25,사계,엘앤에프,,2025-10-29 12:51:19
25,사계,두산에너빌리티,,2025-10-29 12:51:19
25,사계,삼성전자,,2025-10-29 12:51:19
25,사계,에코프로비엠,,2025-10-29 12:51:19
25,사계,한화오션,,2025-10-29 12:51:19
25,사계,산일전기,,2025-10-29 12:51:19
25,사계,미래에셋증권,,2025-10-29 12:51:19
25,사계,심텍,,2025-10-29 12:51:19
25,사계,코스모신소재,,2025-10-29 12:51:19
26,wombat,두산,,2025-10-29 12:51:21
26,wombat,LS ELECTRIC,,2025-10-29 12:51:21
26,wombat,SK하이닉스,,2025-10-29 12:51:21
26,wombat,삼성전자,,2025-10-29 12:51:21
26,wombat,이수페타시스,,2025-10-29 12:51:21
26,wombat,SK스퀘어,,2025-10-29 12:51:21
26,wombat,롯데에너지머티리얼즈,,2025-10-29 12:51:21
